,,,,,,,Anomaly In Fuel Consumption ,,,,,,,
,,,,,,,,,,,,,,
Sl.No.,Driver's code,Truck,Tot.Fuel ,Odo - Min,Odo - Max,Total Dist. Driven,MPG Truck/Driver,Distance ,Tot.Fuel Burned,MPG,Fuel Delta - (Fuel Purchased -Fuel Burned),,,
,,,Purchased,,,,,,,,,,,
,,,,,,,,,,,,,,
1027,MCGK,1837,736.710,245589.6,250395.2,4805.6,6.523,4806,675.8,7.112,60.910,,,
1028,MORHA,1680,4296.020,395200.6,422279.9,27079.3,6.303,27555,4235.5,6.506,60.520,,,
1029,BUNC,1562,348.830,534775.3,536537.4,1762.1,5.051,1752,288.8,6.066,60.030,,,
1030,WILT01,1566,376.360,520767.7,522958.6,2190.9,5.821,2027,316.8,6.398,59.560,,,
1031,LUCJ,1558,1055.150,471975.1,478725.5,6750.4,6.398,6729,995.6,6.759,59.550,,,
1032,FARMI,1632,160.140,510966.4,511252.6,286.2,1.787,708,100.7,7.031,59.440,,,
1033,DAVCL,1630,60.070,523205.2,523590,384.8,6.406,10,1.6,6.250,58.470,,,
1034,REYM,1656,136.960,527001.9,528144.8,1142.9,8.345,557,78.5,7.096,58.460,,,
1035,RATW,1746,5124.140,293777,326051.9,32274.9,6.299,34050,5066.9,6.720,57.240,,,
1036,SIMSC,1954,5904.540,134776.6,176873.1,42096.5,7.130,42553,5847.4,7.277,57.140,,,
1037,MAUJ,1660,872.210,462276.9,468037.7,5760.8,6.605,5748,815.1,7.052,57.110,,,
1038,CREST,1839,869.850,211033,217384.3,6351.3,7.302,6351,813.2,7.810,56.650,,,
1039,PERAL,1642,694.940,460588.6,466005.7,5417.1,7.795,4269,638.3,6.688,56.640,,,
1040,MARCY,1863,5925.950,106933.5,150216.5,43283,7.304,43130,5871.2,7.346,54.750,,,
1041,RUTJO,1696,2094.940,371354.2,384567,13212.8,6.307,12531,2040.8,6.140,54.140,,,
1042,GRAMA,1788,727.490,313176.5,317788,4611.5,6.339,4611,673.9,6.842,53.590,,,
1043,NIXD,1590,1987.420,540003.9,553377.1,13373.2,6.729,13366,1938.9,6.894,48.520,,,
