,,,,,,,Anomaly In Fuel Consumption ,,,,,,,
,,,,,,,,,,,,,,
Sl.No.,Driver's code,Truck,Tot.Fuel ,Odo - Min,Odo - Max,Total Dist. Driven,MPG Truck/Driver,Distance ,Tot.Fuel Burned,MPG,Fuel Delta - (Fuel Purchased -Fuel Burned),,,
,,,Purchased,,,,,,,,,,,
,,,,,,,,,,,,,,
1,WAGL,1534,14154.900,478171.4,501430.6,23259.2,1.643,21266,3171.6,6.705,10983.300,,,
2,CHAD,2046,9721.560,18.2,68778.3,68760.1,7.073,2405,325.5,7.389,9396.060,,,
3,BYRCHR,1734,23087.189,383534.9,534897.7,151362.8,6.556,108548,15385.8,7.055,7701.389,,,
4,BOUB,1926,27916.279,92640.9,306093.7,213452.8,7.646,148628,20690.9,7.183,7225.379,,,
5,NANP,1899,22027.359,57819.3,241628.6,183809.3,8.345,108378,14865,7.291,7162.359,,,
6,GRAJOH,1645,12789.890,516558.7,603582.6,87023.9,6.804,39234,5717.3,6.862,7072.590,,,
7,BONZ,1919,26611.330,89987.2,281024.2,191037,7.179,144467,19774.8,7.306,6836.530,,,
8,BRAE,1943,25469.990,85048.6,258473.7,173425.1,6.809,133695,18718.3,7.142,6751.690,,,
9,SAVE,1934,26680.240,91862,282397.8,190535.8,7.141,148954,20314.9,7.332,6365.340,,,
10,HALCH,1873,26267.961,105160,223187.1,118027.1,4.493,139521,19978.6,6.984,6289.361,,,
11,CHRN,1792,25463.779,241955.2,429997.6,188042.4,7.385,149707,19237.5,7.782,6226.279,,,
12,LOVJE,1725,11952.930,458283.6,537012.1,78728.5,6.587,39499,5742.5,6.878,6210.430,,,
13,MARC,1958,24910.430,76466.8,264055.8,187589,7.531,146315,18749.3,7.804,6161.130,,,
14,DYET,1918,24900.789,62779.2,249408.8,186629.6,7.495,127626,18754.1,6.805,6146.689,,,
15,CUNW,1843,24954.510,144636.8,317693.9,173057.1,6.935,136994,18860.2,7.264,6094.310,,,
16,STRAND,1728,20828.990,341824.3,474918.8,133094.5,6.390,101962,14739.6,6.918,6089.390,,,
17,RICC,1784,24159.080,236582.2,400013.5,163431.3,6.765,129819,18260.4,7.109,5898.680,,,
18,BUFDE,1993,25841.020,47379.3,228003.2,180623.9,6.990,143764,19957,7.204,5884.020,,,
19,RODMAR,1787,23504.721,224306.6,384338.5,160031.9,6.809,129487,17627.5,7.346,5877.221,,,
20,RENT,1884,16456.980,136784.2,251778.8,114994.6,6.988,76583,10595,7.228,5861.980,,,
21,WYLT,1956,22892.029,66424.2,233701.1,167276.9,7.307,128469,17089.5,7.517,5802.529,,,
22,MCCMIK,1913,19752.570,131046.9,273409.8,142362.9,7.207,105166,13984.7,7.520,5767.870,,,
23,GOAJ,1871,23294.430,101136.5,269133.2,167996.7,7.212,130830,17533.4,7.462,5761.030,,,
24,JEFST,1703,22889.400,367636.4,521998.6,154362.2,6.744,121426,17220.4,7.051,5669.000,,,
25,CROMA,1836,16347.870,170902.9,281788.6,110885.7,6.783,76245,10711.7,7.118,5636.170,,,
26,BINA,1961,24732.830,72778.3,249076.2,176297.9,7.128,140299,19097.1,7.347,5635.730,,,
27,DOOB,1732,13399.290,442044.1,527532.8,85488.7,6.380,51700,7803.9,6.625,5595.390,,,
28,MCGROB,1996,18727.301,43202.2,179724.3,136522.1,7.290,100318,13142.8,7.633,5584.501,,,
29,GALJU,1814,24359.850,186640.9,356295.4,169654.5,6.965,136503,18783.2,7.267,5576.650,,,
30,CAIB,1766,25169.141,73821.8,475846.5,402024.7,15.973,139511,19594.5,7.120,5574.641,,,
31,LEVS,1933,12079.190,0,232219.5,232219.5,19.225,49072,6507.5,7.541,5571.690,,,
32,VANC,1905,24043.869,91591.4,265437.5,173846.1,7.230,141169,18472.9,7.642,5570.969,,,
33,STEMI,2035,18515.279,18.6,135563.1,135544.5,7.321,94974,13002.9,7.304,5512.379,,,
34,AMMC,1952,15518.640,108698,220263.1,111565.1,7.189,75155,10011,7.507,5507.640,,,
35,GRIST,1852,25257.500,123456.6,302571.9,179115.3,7.092,144074,19753.7,7.294,5503.800,,,
36,PETD,1718,21986.279,358562.4,507734.2,149171.8,6.785,121385,16483.7,7.364,5502.579,,,
37,PASD,1951,21610.869,52733.8,202420.8,149687,6.926,116488,16108.7,7.231,5502.169,,,
38,FARE,1677,11517.220,453102.9,531804.1,78701.2,6.833,45025,6029,7.468,5488.220,,,
39,LONRO,1877,20634.311,87776.2,229619.9,141843.7,6.874,110172,15182.7,7.256,5451.611,,,
40,BURJO,1810,6922.940,235986.6,283610.8,47624.2,6.879,10378,1502.4,6.908,5420.540,,,
41,VAUJAM,2003,25733.971,36831.9,221559.2,184727.3,7.178,150883,20326.5,7.423,5407.471,,,
42,CULD,1715,21161.619,372613.5,510611.3,137997.8,6.521,104974,15764.8,6.659,5396.819,,,
43,BAET,2030,18902.250,6063.6,134598,128534.4,6.800,97148,13518.4,7.186,5383.850,,,
44,BURST,1748,18562.920,414315.6,539818.4,125502.8,6.761,98819,13202.3,7.485,5360.620,,,
45,HARWI,1974,24215.520,58749.1,232525.9,173776.8,7.176,139216,18856.1,7.383,5359.420,,,
46,THODAV,1872,22210.600,92328.3,257172,164843.7,7.422,129736,16857.1,7.696,5353.500,,,
47,OWEE,2048,16570.100,3810.7,116462.2,112651.5,6.798,83153,11226.7,7.407,5343.400,,,
48,FELC,1969,8381.380,130758.5,184094.3,53335.8,6.364,21501,3071.1,7.001,5310.280,,,
49,HOLJON,2007,20987.910,1747.2,151693.9,149946.7,7.144,114690,15686.3,7.311,5301.610,,,
50,BARCR,1790,13655.500,216480.1,316894.6,100414.5,7.353,62664,8359.7,7.496,5295.800,,,
51,HILF,1946,17663.930,95142.5,219027,123884.5,7.013,90794,12384.5,7.331,5279.430,,,
52,BEVR,1970,22946.490,57042,213378.6,156336.6,6.813,127174,17671.8,7.196,5274.690,,,
53,RILJ,2082,7476.170,470.8,53887,53416.2,7.145,15994,2222.7,7.196,5253.470,,,
54,RANST,1701,16783.260,392640,504053.9,111413.9,6.638,76688,11535.6,6.648,5247.660,,,
55,LINJ,2081,8012.540,3036.8,57216.4,54179.6,6.762,20462,2791.8,7.329,5220.740,,,
56,CHAJO,1808,23127.570,181974.5,343028.2,161053.7,6.964,128563,17912.3,7.177,5215.270,,,
57,THOST,1906,17802.400,37880.4,246210.4,208330,11.702,91747,12588.3,7.288,5214.100,,,
58,JONCH,1722,22371.250,325256.9,476428.2,151171.3,6.757,121290,17162.3,7.067,5208.950,,,
59,CARRO,2064,13210.740,19.6,90663.8,90644.2,6.861,57250,8002.8,7.154,5207.940,,,
60,PITH,2020,23095.699,456.2,164637.9,164181.7,7.109,130014,17887.9,7.268,5207.799,,,
61,WILANT,1716,24093.109,341249.2,507795.2,166546,6.913,133798,18886.8,7.084,5206.309,,,
62,LINED,1870,19740.170,100218,242474.6,142256.6,7.206,107202,14537.8,7.374,5202.370,,,
63,BOLR,1902,20099.609,71068.4,215066.5,143998.1,7.164,110522,14902.2,7.416,5197.409,,,
64,DAVJO,1724,19413.590,306817.7,437275.8,130458.1,6.720,107302,14219.8,7.546,5193.790,,,
65,SHEMI,1763,21930.119,297017.2,444901.9,147884.7,6.743,118116,16744.2,7.054,5185.919,,,
66,DEPK,2017,21256.859,15000.7,168601.2,153600.5,7.226,118806,16095.7,7.381,5161.159,,,
67,HERD,1664,6624.550,467311.7,861003.9,393692.2,59.429,10641,1483.6,7.172,5140.950,,,
68,ALBME,1696,17772.830,396183.2,514256.1,118072.9,6.643,87699,12637.1,6.940,5135.730,,,
69,RINB,1704,14388.530,334064.2,428089.7,94025.5,6.535,61742,9265.8,6.663,5122.730,,,
70,TUSR,1795,7511.630,309219,360481.1,51262.1,6.824,16660,2392.8,6.963,5118.830,,,
71,MURRO,1669,12070.000,474481.4,556574.1,82092.7,6.801,49230,6953.4,7.080,5116.600,,,
72,SABW,2057,11383.290,29530.1,110936,81405.9,7.151,45679,6286.7,7.266,5096.590,,,
73,DINE,1972,24271.881,55902.9,229967.5,174064.6,7.171,140347,19177.2,7.318,5094.681,,,
74,SANJON,1689,10092.560,429540.4,498410.2,68869.8,6.824,35383,4998.4,7.079,5094.160,,,
75,COOS,1904,6596.410,165262.2,243877.6,78615.4,11.918,10241,1517.5,6.749,5078.910,,,
76,WICJO,2008,15578.760,34449.4,144571.5,110122.1,7.069,77318,10501.7,7.362,5077.060,,,
77,VANM,2091,6027.560,9263,43052.4,33789.4,5.606,6484,973.5,6.661,5054.060,,,
78,STALEE,2040,17576.760,481.9,539659.1,539177.2,30.676,93122,12537.1,7.428,5039.660,,,
79,JOHTHO,1752,7081.940,430546.7,476127.3,45580.6,6.436,14384,2046.8,7.028,5035.140,,,
80,JOHJER,1720,22350.699,339707.3,487844.5,148137.2,6.628,120678,17317.7,6.968,5032.999,,,
81,TAYB,1887,12643.250,100551.2,229872.4,129321.2,10.228,59053,7610.6,7.759,5032.650,,,
82,PATCA,1863,15357.810,150216.9,259092.9,108876,7.089,75852,10335.5,7.339,5022.310,,,
83,BROD03,1941,24022.320,77012.5,245528.3,168515.8,7.015,137746,19032.6,7.237,4989.720,,,
84,CRAC,308,20142.330,253439.1,389428.4,135989.3,6.751,108517,15155.6,7.160,4986.730,,,
85,WILMIC,1830,24071.340,146598.4,318920.6,172322.2,7.159,140473,19090.4,7.358,4980.940,,,
86,EVAG,1874,22748.221,83702.1,247014.7,163312.6,7.179,132899,17789.4,7.471,4958.821,,,
87,CANJE,1930,5081.560,209907.2,253939.4,44032.2,8.665,781,123.8,6.309,4957.760,,,
88,LOPJO,2038,9046.120,51881.1,116614.7,64733.6,7.156,30170,4092.5,7.372,4953.620,,,
89,LEWMA,2013,20284.350,14.5,144907.4,144892.9,7.143,114530,15331.7,7.470,4952.650,,,
90,KENEM,2018,8261.130,104594,164002.3,59408.3,7.191,24398,3309.2,7.373,4951.930,,,
91,JOHJO,2096,6504.440,10224.8,45105.9,34881.1,5.363,10853,1554.3,6.983,4950.140,,,
92,JENLE,2074,10997.300,15029.2,77677.6,62648.4,5.697,43735,6048.9,7.230,4948.400,,,
93,SIMTIM,1768,6978.270,422241.6,466588.4,44346.8,6.355,13311,2034,6.544,4944.270,,,
94,BAYJ,1829,19330.131,149586.2,286769.9,137183.7,7.097,106144,14393.9,7.374,4936.231,,,
95,WILTED,2026,21408.471,6711.4,156448.7,149737.3,6.994,121667,16481.4,7.382,4927.071,,,
96,ADAR,1950,21798.230,69148,226432.8,157284.8,7.215,124691,16884.6,7.385,4913.630,,,
97,HALJA,1959,18246.789,98892.4,235460.8,136568.4,7.485,102471,13340.9,7.681,4905.889,,,
98,FONM,1978,20671.971,47721,192304.5,144583.5,6.994,115547,15769.3,7.327,4902.671,,,
99,BARW,1697,5867.500,451929.4,491092.1,39162.7,6.675,6519,965,6.755,4902.500,,,
100,PAYRO,1925,11028.610,140136,246948.5,106812.5,9.685,44471,6136.6,7.247,4892.010,,,
101,SWEJ,2037,19003.670,447.3,138305.9,137858.6,7.254,103878,14122.9,7.355,4880.770,,,
102,DANR,2084,7639.890,16.1,57012.9,56996.8,7.460,20385,2766.3,7.369,4873.590,,,
103,BROTI,1894,5214.850,189840.8,229117.2,39276.4,7.532,2402,347.1,6.920,4867.750,,,
104,LOTG,2027,20108.830,5926.6,141255,135328.4,6.730,105836,15241.6,6.944,4867.230,,,
105,SEAM,1883,11604.420,167070.8,250264.5,83193.7,7.169,50358,6765,7.444,4839.420,,,
106,TAYD01,1932,23513.920,55194,240104.4,184910.4,7.864,133907,18680.4,7.168,4833.520,,,
107,QUID,1895,5511.730,180315.4,226816.2,46500.8,8.437,4626,679.8,6.805,4831.930,,,
108,ARCM,307,19859.930,150530.8,292574.8,142044,7.152,113547,15030.3,7.555,4829.630,,,
109,STRER,1817,13758.630,160006,257977.5,97971.5,7.121,67341,8929.2,7.542,4829.430,,,
110,BRAROG,1898,23391.391,63372.7,235559,172186.3,7.361,135569,18562.2,7.303,4829.191,,,
111,AVEA,1736,8181.770,416548.4,472730.6,56182.2,6.867,23959,3353.9,7.144,4827.870,,,
112,SCHJA,1945,6108.030,176340.8,219774.9,43434.1,7.111,9384,1284.2,7.307,4823.830,,,
113,SHAE,1921,9066.050,126661.2,238560.8,111899.6,12.343,30886,4254.5,7.260,4811.550,,,
114,BELJ,1845,17277.721,168243.2,291722.2,123479,7.147,91732,12466.3,7.358,4811.421,,,
115,JONRI,2045,17655.631,13.3,124406.9,124393.6,7.046,92189,12851.1,7.174,4804.531,,,
116,CLOJ,1649,6307.420,523498.1,564242.7,40744.6,6.460,10084,1515.6,6.653,4791.820,,,
117,HALM,1764,22914.350,317355,469829.1,152474.1,6.654,126703,18123.2,6.991,4791.150,,,
118,MOSAD,1779,8766.860,365265.8,424081.5,58815.7,6.709,27225,3975.9,6.848,4790.960,,,
119,ALDS,1753,12894.470,339846.2,429658.1,89811.9,6.965,59922,8104.4,7.394,4790.070,,,
120,BALD,1991,23811.711,34153.8,200328.4,166174.6,6.979,136648,19031.6,7.180,4780.111,,,
121,MARJOH,1730,24635.711,375429,545817.1,170388.1,6.916,141239,19856.3,7.113,4779.411,,,
122,HICCA,1686,20990.061,376805.1,525752.9,148947.8,7.096,117892,16218,7.269,4772.061,,,
123,ALLMIC,1802,15571.860,225707.2,331097,105389.8,6.768,78276,10812.9,7.239,4758.960,,,
124,MARRA,1733,10644.320,452089.1,525262.9,73173.8,6.874,41392,5886,7.032,4758.320,,,
125,PEAA,1738,21596.539,314518.7,465024.7,150506,6.969,120543,16841.5,7.157,4755.039,,,
126,SMIMAR,2098,5028.930,3210.9,37528.6,34317.7,6.824,1924,284.8,6.756,4744.130,,,
127,KRIM,1947,4993.810,169443.9,200737.6,31293.7,6.266,1870,252.7,7.400,4741.110,,,
128,OWESH,1917,11311.180,121414.6,199398.8,77984.2,6.894,47643,6579.2,7.241,4731.980,,,
129,STAE,2130,4822.920,728.3,40205.9,39477.6,8.185,836,110.4,7.572,4712.520,,,
130,BOLJO,1995,14046.910,111400.2,212337.7,100937.5,7.186,68055,9335.5,7.290,4711.410,,,
131,BECJA,1976,22139.500,57618.6,220508.6,162890,7.357,130955,17435.8,7.511,4703.700,,,
132,ROAJO,2051,16690.580,4046.6,119495,115448.4,6.917,88259,11994.9,7.358,4695.680,,,
133,LANJA,1989,22190.369,47258.2,210455.8,163197.6,7.354,131806,17495.8,7.534,4694.569,,,
134,GAME,1985,22041.850,46272.2,207413.9,161141.7,7.311,131541,17347.6,7.583,4694.250,,,
135,COTALV,2067,13437.670,2668.2,101385.3,98717.1,7.346,66102,8745.8,7.558,4691.870,,,
136,PATWE,1897,13256.470,52868.9,246896.4,194027.5,14.636,63453,8575.8,7.399,4680.670,,,
137,HICWIL,2071,12591.870,3808.5,96255.9,92447.4,7.342,61080,7918.4,7.714,4673.470,,,
138,LOBM,1983,21096.461,42478.3,194687.2,152208.9,7.215,120722,16434.7,7.346,4661.761,,,
139,HOLD01,2053,15728.700,1768.7,112449.6,110680.9,7.037,81077,11072.1,7.323,4656.600,,,
140,SAIM,1828,23504.420,124518.3,296567.9,172049.6,7.320,141836,18849.3,7.525,4655.120,,,
141,SHEH,1909,15883.490,111452,224954.8,113502.8,7.146,82062,11244.6,7.298,4638.890,,,
142,BRIK,1648,9005.870,516473.1,577815.7,61342.6,6.811,31412,4391.9,7.152,4613.970,,,
143,GIBROY,1924,5812.650,207746.5,287340.5,79594,13.693,9118,1202.8,7.581,4609.850,,,
144,COLJAM,1813,19011.760,159303.8,292483.5,133179.7,7.005,105185,14410.2,7.299,4601.560,,,
145,BARTI,1783,9474.520,312041.9,378233.9,66192,6.986,35847,4873.7,7.355,4600.820,,,
146,THOJ01,1975,15084.650,92239.2,202200.2,109961,7.290,78303,10497.5,7.459,4587.150,,,
147,AUSG,2095,6002.110,11053.9,46119.2,35065.3,5.842,11217,1425.7,7.868,4576.410,,,
148,WIET,1694,22917.551,383529.4,536024.2,152494.8,6.654,124232,18368.1,6.763,4549.451,,,
149,SEIE,1746,6040.960,360544.1,400407.2,39863.1,6.599,10610,1494.4,7.100,4546.560,,,
150,FOSJA,2049,12716.650,30388.1,119120.5,88732.4,6.978,58760,8177.9,7.185,4538.750,,,
151,WALCA,1948,20625.289,63829.8,208309.5,144479.7,7.005,118282,16089.8,7.351,4535.489,,,
152,LEERO,2009,20887.189,1320.3,147112.1,145791.8,6.980,121048,16363.7,7.397,4523.489,,,
153,JORW,2028,19346.961,1467.8,138848.3,137380.5,7.101,109794,14824,7.407,4522.961,,,
154,EDWTI,2014,22100.811,593.2,163316.2,162723,7.363,133215,17586.5,7.575,4514.311,,,
155,KIRJA,1659,15203.840,458561.5,565847.8,107286.3,7.057,78241,10706.7,7.308,4497.140,,,
156,DAVCL,1938,7182.750,52595.8,205319.6,152723.8,21.263,20003,2687.4,7.443,4495.350,,,
157,ONED,2031,20616.359,3923.7,151464.6,147540.9,7.156,115857,16126.6,7.184,4489.759,,,
158,PORJ,1888,19807.561,91135.2,238598.1,147462.9,7.445,117196,15329.2,7.645,4478.361,,,
159,WHIPH,1642,4859.910,561573.7,593749.7,32176,6.621,2505,383.9,6.525,4476.010,,,
160,SUTD,2011,7944.090,74215,129968.1,55753.1,7.018,24642,3471.1,7.099,4472.990,,,
161,BRAO,1882,20252.529,94960.1,234782,139821.9,6.904,114945,15785.8,7.282,4466.729,,,
162,WILBOB,2062,13153.800,467,98338.9,97871.9,7.441,67098,8689.8,7.721,4464.000,,,
163,MURSTA,2033,12051.950,30804.7,115270.5,84465.8,7.008,53968,7601.3,7.100,4450.650,,,
164,RUTP,1824,22884.000,142407.1,303668.4,161261.3,7.047,133338,18437.6,7.232,4446.400,,,
165,CLIJ,1750,14409.770,347306.2,452311.4,105005.2,7.287,74797,9976,7.498,4433.770,,,
166,LASR,1666,14888.960,90424.6,501809.2,411384.6,27.630,79597,10458.4,7.611,4430.560,,,
167,HOOK,2102,5109.380,3759.9,36985.6,33225.7,6.503,4648,679.6,6.839,4429.780,,,
168,FORP,1916,17596.600,83539.7,216037,132497.3,7.530,95458,13173.5,7.246,4423.100,,,
169,HAWHEN,2069,12003.810,4301.5,84611.4,80309.9,6.690,55985,7588.6,7.378,4415.210,,,
170,BLACH,2103,4896.920,3382.6,35705.2,32322.6,6.601,3494,489.9,7.132,4407.020,,,
171,LOVA,1674,7159.250,514912.3,560217.7,45305.4,6.328,19803,2757.2,7.182,4402.050,,,
172,HARST,2065,12482.380,491.7,91931.2,91439.5,7.325,60307,8093.9,7.451,4388.480,,,
173,BARAL,1968,15091.430,95221.4,204048.4,108827,7.211,79307,10706.4,7.407,4385.030,,,
174,SAND,2012,20109.480,452.9,143015.4,142562.5,7.089,116410,15728.6,7.401,4380.880,,,
175,MURJO,2086,7216.070,44.1,53824.9,53780.8,7.453,21833,2837,7.696,4379.070,,,
176,REYJ,1875,4624.940,210263.2,244492.8,34229.6,7.401,1907,254.3,7.499,4370.640,,,
177,KORR,1881,13979.020,163682.1,263153.8,99471.7,7.116,70530,9609.3,7.340,4369.720,,,
178,BUFD,2093,5941.070,10053.2,42626.2,32573,5.483,11105,1584.4,7.009,4356.670,,,
179,MIXC,1861,7492.170,218860.6,271312.1,52451.5,7.001,23423,3147.6,7.442,4344.570,,,
180,SCHD,2111,4672.670,3992,33659.6,29667.6,6.349,2537,348.5,7.280,4324.170,,,
181,STEJOH,2127,4672.340,925.2,32051.1,31125.9,6.662,2556,351.4,7.274,4320.940,,,
182,WHICH,1791,19110.920,201416.4,339948.7,138532.3,7.249,111292,14790.2,7.525,4320.720,,,
183,ROBJEF,2001,18261.490,27729.6,162823.8,135094.2,7.398,105508,13949.2,7.564,4312.290,,,
184,PITG,1840,8817.560,210777.9,266840.4,56062.5,6.358,30164,4512,6.685,4305.560,,,
185,FLED,2101,4872.210,3014.9,34527.8,31512.9,6.468,4133,569.3,7.260,4302.910,,,
186,ELLH,1695,19419.539,359105.6,489134.2,130028.6,6.696,102461,15117.2,6.778,4302.339,,,
187,CORWI,1770,5931.500,385571.1,424600,39028.9,6.580,10522,1637.5,6.426,4294.000,,,
188,HOWRA,2088,5525.140,10392.2,42025,31632.8,5.725,8875,1232.8,7.199,4292.340,,,
189,BOWJ,2085,7156.320,483.3,53500.4,53017.1,7.408,21504,2864.6,7.507,4291.720,,,
190,DEFE,2092,5736.720,9524.6,39320.5,29795.9,5.194,10399,1445.8,7.193,4290.920,,,
191,SMIBRE,1984,19697.221,40211.8,177415,137203.2,6.966,111605,15406.8,7.244,4290.421,,,
192,PUCK,1903,5080.100,196357,232730.9,36373.9,7.160,5800,796.4,7.283,4283.700,,,
193,BECV,1838,4845.960,261990.3,296206.3,34216,7.061,3822,562.9,6.790,4283.060,,,
194,HATJO,2050,16079.990,4449.3,115148.5,110699.2,6.884,85792,11805.8,7.267,4274.190,,,
195,LOPR,2076,10041.440,17489.7,72235.2,54745.5,5.452,42214,5768.1,7.319,4273.340,,,
196,THOMIC,2105,4713.520,2267.7,34340.1,32072.4,6.804,3358,445,7.546,4268.520,,,
197,JONDO,1821,9481.260,233502.6,299906.3,66403.7,7.004,39063,5215.2,7.490,4266.060,,,
198,VANCH,1731,16841.141,341805.8,456544.2,114738.4,6.813,89819,12575.6,7.142,4265.541,,,
199,WHOM,1911,20472.270,83110.3,231102.1,147991.8,7.229,119329,16223.6,7.355,4248.670,,,
200,MORJAM,1729,22320.820,352824.8,507013.7,154188.9,6.908,129430,18072.3,7.162,4248.520,,,
201,TRAB,1794,10497.130,253187.5,323163.1,69975.6,6.666,43451,6249.2,6.953,4247.930,,,
202,ULAL,2010,6133.900,106663.4,146395.7,39732.3,6.477,13577,1895.4,7.163,4238.500,,,
203,RICS,2109,4556.540,3436.3,31922.4,28486.1,6.252,2234,320.3,6.975,4236.240,,,
204,STOD,2029,19066.439,3507.3,138963.8,135456.5,7.104,108551,14832.3,7.319,4234.139,,,
205,HUGC,1741,9763.720,343555.9,546736.6,203180.7,20.810,36742,5532.2,6.641,4231.520,,,
206,WIRR,1865,10108.090,159314.3,230682.2,71367.9,7.060,42554,5878.4,7.239,4229.690,,,
207,SIMJE,2024,8525.560,81140.4,142069.4,60929,7.147,31640,4303.7,7.352,4221.860,,,
208,BENRO,1973,21930.170,48407.4,205556.5,157149.1,7.166,129398,17716.5,7.304,4213.670,,,
209,VANP,1804,20244.631,201071.7,347398.2,146326.5,7.228,122094,16047.2,7.608,4197.431,,,
210,PITTER,2068,11969.600,2352.7,93595.9,91243.2,7.623,59557,7777.5,7.658,4192.100,,,
211,SIMJIM,1967,8731.280,154187.1,214055.7,59868.6,6.857,30621,4544.1,6.739,4187.180,,,
212,HATA,1955,20036.340,59324.9,203713.5,144388.6,7.206,116559,15852.7,7.353,4183.640,,,
213,MEAJ,1982,19798.801,46235.6,188340.7,142105.1,7.177,113556,15626.3,7.267,4172.501,,,
214,CRUM,2083,5538.830,447.6,43415.4,42967.8,7.758,10401,1372.5,7.578,4166.330,,,
215,SMID,2131,4356.280,950.7,32549,31598.3,7.254,1620,190.6,8.499,4165.680,,,
216,PARW,2058,15316.240,993.7,115141.2,114147.5,7.453,84415,11163.1,7.562,4153.140,,,
217,KELJA,2056,19049.801,1134.1,174172.7,173038.6,9.083,124066,14898.2,8.328,4151.601,,,
218,CRODAN,1988,12309.450,94363.2,183770.7,89407.5,7.263,61898,8165.4,7.581,4144.050,,,
219,HAYP,1879,7290.730,178032.8,228288.2,50255.4,6.893,22682,3147.5,7.206,4143.230,,,
220,METMI,1922,19692.721,58489.4,223887.1,165397.7,8.399,114908,15551,7.389,4141.721,,,
221,MORI,1683,4936.650,472562.6,504651,32088.4,6.500,4777,795.5,6.005,4141.150,,,
222,BURD,2063,13183.720,454.4,99560.5,99106.1,7.517,68622,9043.2,7.588,4140.520,,,
223,PLAJ,1997,19444.340,38826,180001.8,141175.8,7.261,114315,15309,7.467,4135.340,,,
224,MOOJEF,1692,9241.500,495213,559435.8,64222.8,6.949,36824,5110.1,7.206,4131.400,,,
225,LOUR,1927,16528.240,85429.4,218074.8,132645.4,8.025,93310,12398,7.526,4130.240,,,
226,NORPA,1942,18940.650,53153.4,208154.2,155000.8,8.183,109097,14811.8,7.366,4128.850,,,
227,HOWLE,1851,22276.670,99270.1,262340,163069.9,7.320,136622,18163.2,7.522,4113.470,,,
228,REERI,1986,19465.230,43960.2,184074.5,140114.3,7.198,113075,15355.4,7.364,4109.830,,,
229,LEEE,1960,19497.561,55470.9,193837.2,138366.3,7.097,113284,15399.6,7.356,4097.961,,,
230,HIEK,1979,20547.480,50020.6,198085.3,148064.7,7.206,121508,16453.8,7.385,4093.680,,,
231,HERV,2094,5911.160,11822.4,44680.8,32858.4,5.559,13575,1817.9,7.467,4093.260,,,
232,FERCA,2078,7623.030,1768.5,53857.5,52089,6.833,25509,3530.6,7.225,4092.430,,,
233,JAMT,1665,11122.939,426722.8,503309,76586.2,6.885,50495,7031.5,7.181,4091.439,,,
234,BROA,1999,20202.141,38869.1,182811,143941.9,7.125,117702,16115.6,7.304,4086.541,,,
235,OBRG,2023,17537.660,3623.4,129203.5,125580.1,7.161,97782,13469.7,7.259,4067.960,,,
236,WEBTH,1936,19926.100,66904.3,216337.3,149433,7.499,117507,15861.1,7.409,4065.000,,,
237,FURL,1709,6005.630,498980.1,537774.2,38794.1,6.460,13156,1949.7,6.748,4055.930,,,
238,REAE,1747,22677.650,308600.3,448341.8,139741.5,6.162,125025,18622.8,6.714,4054.850,,,
239,GOOJO,1713,6176.840,482453.3,522212.3,39759,6.437,14060,2135.2,6.585,4041.640,,,
240,BUCJO,1670,7841.470,497525.3,551787,54261.7,6.920,26301,3802.1,6.917,4039.370,,,
241,HOWK,1652,7237.390,509916.8,557053.4,47136.6,6.513,21731,3201,6.789,4036.390,,,
242,AUBA,2022,16789.891,4216.3,123034.1,118817.8,7.077,95684,12756.7,7.501,4033.191,,,
243,PEDA,2079,7501.300,53.8,54774,54720.2,7.295,24765,3480.4,7.116,4020.900,,,
244,GREG,2044,15790.560,443.3,108248.2,107804.9,6.827,81302,11782.8,6.900,4007.760,,,
245,THOCHA,2107,4135.380,337.4,30783.2,30445.8,7.362,1025,130.6,7.848,4004.780,,,
246,RAMRI,1868,7431.740,190103.5,243710.8,53607.3,7.213,25822,3430.6,7.527,4001.140,,,
247,JORJO,1915,20373.770,48244.4,235529.3,187284.9,9.192,119913,16380,7.321,3993.770,,,
248,DAWDA,2002,19637.711,31731.1,168727.5,136996.4,6.976,110349,15645.7,7.053,3992.011,,,
249,JACJOH,1866,9375.670,158427.6,229381.6,70954,7.568,42182,5387.2,7.830,3988.470,,,
250,GREH,2061,13493.210,2814.8,98088.3,95273.5,7.061,69867,9533.4,7.329,3959.810,,,
251,HUGJA,1758,14371.680,338916.5,435850.6,96934.1,6.745,75369,10417.3,7.235,3954.380,,,
252,AUSTE,2106,4495.530,3807.7,34511.6,30703.9,6.830,4179,547.7,7.630,3947.830,,,
253,CULJA,1876,6091.170,206972.8,248770.6,41797.8,6.862,15016,2171.1,6.916,3920.070,,,
254,HARTI,1823,12261.930,156576.4,245315.8,88739.4,7.237,62515,8365.1,7.473,3896.830,,,
255,TANDA,1939,4762.810,87133.6,228316,141182.4,29.643,6334,884.8,7.159,3878.010,,,
256,CAUS,2000,20609.260,36968.4,187811.2,150842.8,7.319,124025,16733.3,7.412,3875.960,,,
257,PARJAM,1912,21844.830,100861.5,263001.4,162139.9,7.422,137220,17990.8,7.627,3854.030,,,
258,DYEJE,2005,21678.381,33281.3,188639.5,155358.2,7.167,129976,17827.3,7.291,3851.081,,,
259,WHIGR,1797,7245.050,276544.8,321201.4,44656.6,6.164,22593,3396.2,6.652,3848.850,,,
