,tr_drvr_code,tr_unit_id,Total_Fuel_Purchased,DriverID_x,EquipmentID_x,odo_min,odo_max,Total_dist_driven,mpg_drvr_truck,DriverID_y,EquipmentID_y,Perf_TotalFuelUsed,Perf_Distance,mpg_perf,diff_fuel_purchased
1786,WYLT,1956,22892.029296875,WYLT,1956,66424.2,233701.1,167276.90000000002,7.307211511512222,WYLT,1956,17089.500000000004,128469.0,7.517422979022205,5802.529296874996
1078,MCCMIK,1913,19752.5703125,MCCMIK,1913,131046.9,273409.8,142362.9,7.207310124592171,MCCMIK,1913,13984.7,105166.0,7.520075511094267,5767.870312499999
630,GOAJ,1871,23294.4296875,GOAJ,1871,101136.5,269133.2,167996.7,7.211882937410936,GOAJ,1871,17533.399999999998,130830.0,7.461758700537262,5761.029687500002
844,JEFST,1703,22889.400390625,JEFST,1703,367636.4,521998.6,154362.19999999995,6.743828906205134,JEFST,1703,17220.4,121426.0,7.0512880072472175,5669.0003906249985
386,CROMA,1836,16347.8701171875,CROMA,1836,170902.9,281788.6,110885.69999999998,6.782883593099946,CROMA,1836,10711.7,76245.0,7.117917790826852,5636.170117187499
154,BINA,1961,24732.830078125,BINA,1961,72778.3,249076.2,176297.90000000002,7.12809247640152,BINA,1961,19097.1,140299.0,7.346612836503972,5635.7300781250015
466,DOOB,1732,13399.2900390625,DOOB,1732,442044.1,527532.8,85488.70000000007,6.380091762382763,DOOB,1732,7803.9,51700.0,6.624892681864196,5595.3900390625
1090,MCGROB,1996,18727.30078125,MCGROB,1996,43202.2,179724.3,136522.09999999998,7.290004127914021,MCGROB,1996,13142.800000000003,100318.0,7.632924490976046,5584.500781249997
599,GALJU,1814,24359.849609375,GALJU,1814,186640.9,356295.4,169654.50000000003,6.964513439964248,GALJU,1814,18783.200000000004,136503.0,7.267292048213295,5576.649609374996
258,CAIB,1766,25169.140625,CAIB,1766,73821.8,475846.5,402024.7,15.972921204972607,CAIB,1766,19594.499999999996,139511.0,7.119906096098396,5574.640625000004
983,LEVS,1933,12079.1904296875,LEVS,1933,0.0,232219.5,232219.5,19.224756936463642,LEVS,1933,6507.5,49072.0,7.540837495197849,5571.6904296875
1669,VANC,1905,24043.869140625,VANC,1905,91591.4,265437.5,173846.1,7.230371242799112,VANC,1905,18472.900000000005,141169.0,7.641951182543075,5570.969140624995
1574,STEMI,2035,18515.279296875,STEMI,2035,18.6,135563.1,135544.5,7.320683519091021,STEMI,2035,13002.900000000003,94974.0,7.304062939805734,5512.379296874997
43,AMMC,1952,15518.6396484375,AMMC,1952,108698.0,220263.1,111565.1,7.189103073943274,AMMC,1952,10011.0,75155.0,7.507242033762861,5507.6396484375
680,GRIST,1852,25257.5,GRIST,1852,123456.6,302571.9,179115.30000000002,7.0915688409383355,GRIST,1852,19753.699999999997,144074.0,7.293519695044473,5503.800000000003
1255,PETD,1718,21986.279296875,PETD,1718,358562.4,507734.2,149171.8,6.784767808403234,PETD,1718,16483.700000000004,121385.0,7.363941348119655,5502.579296874996
1221,PASD,1951,21610.869140625,PASD,1951,52733.8,202420.8,149687.0,6.926468298242213,PASD,1951,16108.699999999999,116488.0,7.231371867376015,5502.169140625001
520,FARE,1677,11517.2197265625,FARE,1677,453102.9,531804.1,78701.19999999995,6.833350571448166,FARE,1677,6029.000000000001,45025.0,7.468070990213965,5488.219726562499
1003,LONRO,1877,20634.310546875,LONRO,1877,87776.2,229619.9,141843.7,6.874167163364796,LONRO,1877,15182.7,110172.0,7.256416842854038,5451.610546874999
242,BURJO,1810,6922.93994140625,BURJO,1810,235986.6,283610.8,47624.19999999998,6.879187224369612,BURJO,1810,1502.4,10378.0,6.907614483493077,5420.53994140625
1680,VAUJAM,2003,25733.970703125,VAUJAM,2003,36831.9,221559.2,184727.30000000002,7.178344225656855,VAUJAM,2003,20326.499999999996,150883.0,7.4229700145130755,5407.470703125004
392,CULD,1715,21161.619140625,CULD,1715,372613.5,510611.3,137997.8,6.521136170297992,CULD,1715,15764.800000000003,104974.0,6.6587587536790815,5396.819140624997
86,BAET,2030,18902.25,BAET,2030,6063.6,134598.0,128534.4,6.79995238662064,BAET,2030,13518.400000000001,97148.0,7.186353414605278,5383.8499999999985
246,BURST,1748,18562.919921875,BURST,1748,414315.6,539818.4,125502.80000000005,6.7609406563298515,BURST,1748,13202.300000000001,98819.0,7.484983677086568,5360.619921874999
712,HARWI,1974,24215.51953125,HARWI,1974,58749.1,232525.9,173776.8,7.176257349165767,HARWI,1974,18856.1,139216.0,7.383074973085633,5359.4195312500015
1638,THODAV,1872,22210.599609375,THODAV,1872,92328.3,257172.0,164843.7,7.42184825710064,THODAV,1872,16857.100000000006,129736.0,7.69622295649904,5353.499609374994
1201,OWEE,2048,16570.099609375,OWEE,2048,3810.7,116462.2,112651.5,6.798480555678992,OWEE,2048,11226.7,83153.0,7.4067179135453864,5343.399609374999
1469,SEYR,2089,6858.81982421875,,,,,,,SEYR,2089,1520.8,10670.0,7.016044187269858,5338.01982421875
534,FELC,1969,8381.3798828125,FELC,1969,130758.5,184094.3,53335.79999999999,6.363606082260329,FELC,1969,3071.1,21501.0,7.001074533554752,5310.2798828125
787,HOLJON,2007,20987.91015625,HOLJON,2007,1747.2,151693.9,149946.69999999998,7.144432146110902,HOLJON,2007,15686.300000000005,114690.0,7.311475618852117,5301.610156249995
112,BARCR,1790,13655.5,BARCR,1790,216480.1,316894.6,100414.49999999997,7.353410713631868,BARCR,1790,8359.700000000003,62664.0,7.495962773783746,5295.799999999997
770,HILF,1946,17663.9296875,HILF,1946,95142.5,219027.0,123884.5,7.013416730687493,HILF,1946,12384.500000000005,90794.0,7.331260850256365,5279.4296874999945
152,BEVR,1970,22946.490234375,BEVR,1970,57042.0,213378.6,156336.6,6.813094220649043,BEVR,1970,17671.800000000007,127174.0,7.1964372616258645,5274.690234374993
1374,RILJ,2082,7476.169921875,RILJ,2082,470.8,53887.0,53416.2,7.144861681608673,RILJ,2082,2222.7,15994.0,7.195752913123679,5253.469921875
1327,RANST,1701,16783.259765625,RANST,1701,392640.0,504053.9,111413.90000000002,6.638394540504868,RANST,1701,11535.6,76688.0,6.647942022955026,5247.659765625
997,LINJ,2081,8012.5400390625,LINJ,2081,3036.8,57216.4,54179.6,6.761850765907591,LINJ,2081,2791.8,20462.0,7.329321584640733,5220.7400390625
302,CHAJO,1808,23127.5703125,CHAJO,1808,181974.5,343028.2,161053.7,6.963710317332972,CHAJO,1808,17912.3,128563.0,7.177358574834053,5215.270312500001
