"TRUCK","ACTIVE","SENDFUEL","SENDROUTE","TANKCAP","AVGMPG","SATTYPE"
"  1566         ","Y","Y","Y",250,6.00," "
"  1567         ","Y","Y","Y",250,6.00," "
"  1568         ","Y","Y","Y",250,6.00," "
"  1569         ","Y","Y","Y",250,6.00," "
"  1570         ","Y","Y","Y",250,6.00," "
"  1572         ","Y","Y","Y",250,6.00," "
"  1573         ","Y","Y","Y",250,6.00," "
"  1574         ","Y","Y","Y",250,6.00," "
"  1575         ","Y","Y","Y",250,6.00," "
"  1576         ","Y","Y","Y",250,6.00," "
"  1577         ","Y","Y","Y",250,6.00," "
"  1578         ","Y","Y","Y",250,6.00," "
"  1579         ","Y","Y","Y",250,6.00," "
"  1580         ","Y","Y","Y",250,6.00," "
"  1581         ","Y","Y","Y",250,6.00," "
"  1582         ","Y","Y","Y",250,6.00," "
"  1583         ","Y","Y","Y",250,6.00," "
"  1584         ","Y","Y","Y",250,6.00," "
"  1585         ","Y","Y","Y",250,6.00," "
"  1586         ","Y","Y","Y",250,6.00," "
"  1587         ","Y","Y","Y",250,6.00," "
"  1588         ","Y","Y","Y",250,6.00," "
"  1589         ","Y","Y","Y",250,6.00," "
"  1590         ","Y","Y","Y",250,6.00," "
"  1591         ","Y","Y","Y",250,6.00," "
"  1592         ","Y","Y","Y",250,6.00," "
"  1593         ","Y","Y","Y",250,6.00," "
"  1594         ","Y","Y","Y",250,6.00," "
"  1595         ","Y","Y","Y",250,6.00," "
"  1596         ","Y","Y","Y",250,6.00," "
"  1597         ","Y","Y","Y",250,6.00," "
"  1598         ","Y","Y","Y",250,6.00," "
"  1599         ","Y","Y","Y",250,6.00," "
"  1600         ","Y","Y","Y",250,6.00," "
"  1602         ","Y","Y","Y",250,6.00," "
"  1603         ","Y","Y","Y",250,6.00," "
"  1604         ","Y","Y","Y",250,6.00," "
"  1605         ","Y","Y","Y",230,6.00," "
"  1606         ","Y","Y","Y",230,6.00," "
"  1607         ","Y","Y","Y",230,6.00," "
"  1608         ","Y","Y","Y",230,6.00," "
"  1609         ","Y","Y","Y",230,6.00," "
"  1610         ","Y","Y","Y",230,6.00," "
"  1611         ","Y","Y","Y",230,6.00," "
"  1612         ","Y","Y","Y",230,6.00," "
"  1613         ","Y","Y","Y",230,6.00," "
"  1614         ","Y","Y","Y",230,6.00," "
"  1615         ","Y","Y","Y",230,6.00," "
"  1616         ","Y","Y","Y",230,6.00," "
"  1617         ","Y","Y","Y",230,6.00," "
"  1618         ","Y","Y","Y",230,6.00," "
"  1619         ","Y","Y","Y",230,6.00," "
"  1620         ","Y","Y","Y",230,6.00," "
"  1621         ","Y","Y","Y",230,6.00," "
"  1622         ","Y","Y","Y",230,6.00," "
"  1623         ","Y","Y","Y",230,6.00," "
"  1624         ","Y","Y","Y",230,6.00," "
"  1625         ","Y","Y","Y",230,6.00," "
"  1626         ","Y","Y","Y",230,6.00," "
"  1627         ","Y","Y","Y",230,6.00," "
"  1628         ","Y","Y","Y",230,6.00," "
"  1629         ","Y","Y","Y",230,6.00," "
"  1630         ","Y","Y","Y",230,6.00," "
"  1631         ","Y","Y","Y",230,6.00," "
"  1632         ","Y","Y","Y",230,6.00," "
"  1633         ","Y","Y","Y",230,6.00," "
"  1634         ","Y","Y","Y",230,6.00," "
"  1635         ","Y","Y","Y",230,6.00," "
"  1636         ","Y","Y","Y",230,6.00," "
"  1637         ","Y","Y","Y",230,6.00," "
"  1638         ","Y","Y","Y",230,6.00," "
"  1639         ","Y","Y","Y",230,6.00," "
"  1640         ","Y","Y","Y",230,6.00," "
"  1641         ","Y","Y","Y",230,6.00," "
"  1642         ","Y","Y","Y",230,6.00," "
"  1643         ","Y","Y","Y",230,6.00," "
"  1644         ","Y","Y","Y",230,6.00," "
"  1645         ","Y","Y","Y",230,6.00," "
"  1646         ","Y","Y","Y",230,6.00," "
"  1647         ","Y","Y","Y",230,6.00," "
"  1648         ","Y","Y","Y",230,6.00," "
"  1649         ","Y","Y","Y",230,6.00," "
"  1650         ","Y","Y","Y",230,6.00," "
"  1651         ","Y","Y","Y",230,6.00," "
"  1652         ","Y","Y","Y",230,6.00," "
"  1653         ","Y","Y","Y",230,6.00," "
